prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
635,query_only,knowledge/person_language,17,634,,,,,,,,,,,,,,,,,,,,,Louis Pergaud,French,Louis Pergaud →
636,icl,knowledge/person_language,18,637,Pierre-Charles Villeneuve,Ernest Rutherford,Nitzan Horowitz,Maurice Merleau-Ponty,Nino Rota,Andrei Bitov,George Hardinge,Maria Elena Kiriakou,Eleanor Bron,Michael Moore,French,English,Hebrew,French,Italian,Russian,English,Greek,English,English,Louis Pergaud,French,"Pierre-Charles Villeneuve → French
Ernest Rutherford → English
Nitzan Horowitz → Hebrew
Maurice Merleau-Ponty → French
Nino Rota → Italian
Andrei Bitov → Russian
George Hardinge → English
Maria Elena Kiriakou → Greek
Eleanor Bron → English
Michael Moore → English
Louis Pergaud →"
637,query_only,knowledge/person_language,18,636,,,,,,,,,,,,,,,,,,,,,Michel-Dimitri Calvocoressi,French,Michel-Dimitri Calvocoressi →
638,icl,knowledge/person_language,19,639,Leonard Plugge,Giovanni Ricordi,Palito Ortega,Jean Marais,El General,Hussniya Jabara,Kenneth Hurlstone Jackson,George Michael,Jean Crotti,Nikolai Leskov,English,Italian,Spanish,French,Spanish,Hebrew,English,English,French,Russian,Michel-Dimitri Calvocoressi,French,"Leonard Plugge → English
Giovanni Ricordi → Italian
Palito Ortega → Spanish
Jean Marais → French
El General → Spanish
Hussniya Jabara → Hebrew
Kenneth Hurlstone Jackson → English
George Michael → English
Jean Crotti → French
Nikolai Leskov → Russian
Michel-Dimitri Calvocoressi →"
639,query_only,knowledge/person_language,19,638,,,,,,,,,,,,,,,,,,,,,Thomas Piketty,French,Thomas Piketty →
640,icl,knowledge/person_language,20,641,Giacinto Scelsi,Maurice Merleau-Ponty,Henry Sidgwick,Chandrasekhar,Gilles de Robien,Melvyn Bragg,Fulvio Tomizza,Laura Gore,"John Hutton, Baron Hutton of Furness",James Pennethorne,Italian,French,English,Tamil,French,English,Italian,Italian,English,English,Thomas Piketty,French,"Giacinto Scelsi → Italian
Maurice Merleau-Ponty → French
Henry Sidgwick → English
Chandrasekhar → Tamil
Gilles de Robien → French
Melvyn Bragg → English
Fulvio Tomizza → Italian
Laura Gore → Italian
John Hutton, Baron Hutton of Furness → English
James Pennethorne → English
Thomas Piketty →"
641,query_only,knowledge/person_language,20,640,,,,,,,,,,,,,,,,,,,,,Maurice Tourneur,French,Maurice Tourneur →
642,icl,knowledge/person_language,21,643,Ferdinand Hoefer,Jesus Christ,Giovanni Valentini,Arvo Tuominen,Michael Moore,Natasha Parry,Mick Lally,Abbas Kiarostami,Paul Mattick,Yvette Giraud,French,Hebrew,Italian,Finnish,English,English,Irish,Persian,English,French,Maurice Tourneur,French,"Ferdinand Hoefer → French
Jesus Christ → Hebrew
Giovanni Valentini → Italian
Arvo Tuominen → Finnish
Michael Moore → English
Natasha Parry → English
Mick Lally → Irish
Abbas Kiarostami → Persian
Paul Mattick → English
Yvette Giraud → French
Maurice Tourneur →"
643,query_only,knowledge/person_language,21,642,,,,,,,,,,,,,,,,,,,,,Georges Ohnet,French,Georges Ohnet →
644,icl,knowledge/person_language,22,645,Mervyn Peake,Jabr Muadi,Mother Teresa,Matt Greenhalgh,Giovanni Morone,Camille Bulcke,Nicolas Perrenot de Granvelle,Samuel Coster,Adrianus Valerius,Manuel De Sica,English,Hebrew,English,English,Italian,Hindi,French,Dutch,Dutch,Italian,Georges Ohnet,French,"Mervyn Peake → English
Jabr Muadi → Hebrew
Mother Teresa → English
Matt Greenhalgh → English
Giovanni Morone → Italian
Camille Bulcke → Hindi
Nicolas Perrenot de Granvelle → French
Samuel Coster → Dutch
Adrianus Valerius → Dutch
Manuel De Sica → Italian
Georges Ohnet →"
645,query_only,knowledge/person_language,22,644,,,,,,,,,,,,,,,,,,,,,Nicolas Oudinot,French,Nicolas Oudinot →
646,icl,knowledge/person_language,23,647,Sarah Waters,Louis Bonaparte,Christiaan Huygens,Derick Thomson,Louise Lawler,Michel Etcheverry,Peter Mayle,Andrea Carandini,Georges Guibourg,Alex Benno,Welsh,French,Latin,English,English,French,English,Italian,French,Dutch,Nicolas Oudinot,French,"Sarah Waters → Welsh
Louis Bonaparte → French
Christiaan Huygens → Latin
Derick Thomson → English
Louise Lawler → English
Michel Etcheverry → French
Peter Mayle → English
Andrea Carandini → Italian
Georges Guibourg → French
Alex Benno → Dutch
Nicolas Oudinot →"
647,query_only,knowledge/person_language,23,646,,,,,,,,,,,,,,,,,,,,,Donald Davie,English,Donald Davie →
648,icl,knowledge/person_language,24,649,Herman Branover,Michel Peissel,Ferrante Pallavicino,Paal-Helge Haugen,Beau Billingslea,John Willie,Ion Cristoiu,Thor Heyerdahl,Hieronymus Fabricius,Sami Michael,Russian,French,Italian,Norwegian,English,English,Romanian,Norwegian,Latin,Hebrew,Donald Davie,English,"Herman Branover → Russian
Michel Peissel → French
Ferrante Pallavicino → Italian
Paal-Helge Haugen → Norwegian
Beau Billingslea → English
John Willie → English
Ion Cristoiu → Romanian
Thor Heyerdahl → Norwegian
Hieronymus Fabricius → Latin
Sami Michael → Hebrew
Donald Davie →"
649,query_only,knowledge/person_language,24,648,,,,,,,,,,,,,,,,,,,,,Gheorghe Ciuhandu,Romanian,Gheorghe Ciuhandu →
650,icl,knowledge/person_language,25,651,Kylie Minogue,Jacques Poulin,Adolphe Joseph Thomas Monticelli,Calixto Bieito,Laure Duthilleul,John Skelton,Henry Winter,Jorge Lanata,Helen Dunmore,George Dance the Younger,English,French,French,Spanish,French,English,English,Spanish,English,English,Gheorghe Ciuhandu,Romanian,"Kylie Minogue → English
Jacques Poulin → French
Adolphe Joseph Thomas Monticelli → French
Calixto Bieito → Spanish
Laure Duthilleul → French
John Skelton → English
Henry Winter → English
Jorge Lanata → Spanish
Helen Dunmore → English
George Dance the Younger → English
Gheorghe Ciuhandu →"
651,query_only,knowledge/person_language,25,650,,,,,,,,,,,,,,,,,,,,,Paul Antoine Fleuriot de Langle,French,Paul Antoine Fleuriot de Langle →
652,icl,knowledge/person_language,26,653,Francis Robortello,Anders Fager,Jostein Pedersen,Yuval Steinitz,Auguste Chevalier,Ch'ien Mu,Ebenezer Howard,William W. Hallo,Andrew Carnegie,Nicolaus Olahus,Italian,Swedish,Norwegian,Hebrew,French,Chinese,English,English,English,Latin,Paul Antoine Fleuriot de Langle,French,"Francis Robortello → Italian
Anders Fager → Swedish
Jostein Pedersen → Norwegian
Yuval Steinitz → Hebrew
Auguste Chevalier → French
Ch'ien Mu → Chinese
Ebenezer Howard → English
William W. Hallo → English
Andrew Carnegie → English
Nicolaus Olahus → Latin
Paul Antoine Fleuriot de Langle →"
653,query_only,knowledge/person_language,26,652,,,,,,,,,,,,,,,,,,,,,Alfonso Sastre,Spanish,Alfonso Sastre →
654,icl,knowledge/person_language,27,655,Derrick Sherwin,George Howard Earle III,Alain de Benoist,Peter Rogers,Giovanni Bertati,Ferdinand Hoefer,Valmiki,Ellen Wilkinson,Gajanan Madhav Muktibodh,Johann Gerhard,English,English,French,English,Italian,French,Sanskrit,English,Hindi,German,Alfonso Sastre,Spanish,"Derrick Sherwin → English
George Howard Earle III → English
Alain de Benoist → French
Peter Rogers → English
Giovanni Bertati → Italian
Ferdinand Hoefer → French
Valmiki → Sanskrit
Ellen Wilkinson → English
Gajanan Madhav Muktibodh → Hindi
Johann Gerhard → German
Alfonso Sastre →"
655,query_only,knowledge/person_language,27,654,,,,,,,,,,,,,,,,,,,,,Osvaldo Genazzani,Italian,Osvaldo Genazzani →
656,icl,knowledge/person_language,28,657,Peter Quennell,Tabish Khair,Giuseppe Bossi,Hossein Amini,Fyodor Mikhaylovich Reshetnikov,Emanuel Tov,"Charles Louis Auguste Fouquet, duc de Belle-Isle",Corinne Calvet,Paul Antoine Fleuriot de Langle,Einar Englund,English,English,Italian,Persian,Russian,Hebrew,French,French,French,Finnish,Osvaldo Genazzani,Italian,"Peter Quennell → English
Tabish Khair → English
Giuseppe Bossi → Italian
Hossein Amini → Persian
Fyodor Mikhaylovich Reshetnikov → Russian
Emanuel Tov → Hebrew
Charles Louis Auguste Fouquet, duc de Belle-Isle → French
Corinne Calvet → French
Paul Antoine Fleuriot de Langle → French
Einar Englund → Finnish
Osvaldo Genazzani →"
657,query_only,knowledge/person_language,28,656,,,,,,,,,,,,,,,,,,,,,Alain de Benoist,French,Alain de Benoist →
658,icl,knowledge/person_language,29,659,Clifford Grey,Peter Brook,Gustav Frederik Holm,Andrea Carandini,Anna Mouglalis,David Blondel,Nanni Moretti,Jostein Pedersen,Eadweard Muybridge,"Charles Louis Auguste Fouquet, duc de Belle-Isle",English,English,Danish,Italian,French,French,Italian,Norwegian,English,French,Alain de Benoist,French,"Clifford Grey → English
Peter Brook → English
Gustav Frederik Holm → Danish
Andrea Carandini → Italian
Anna Mouglalis → French
David Blondel → French
Nanni Moretti → Italian
Jostein Pedersen → Norwegian
Eadweard Muybridge → English
Charles Louis Auguste Fouquet, duc de Belle-Isle → French
Alain de Benoist →"
659,query_only,knowledge/person_language,29,658,,,,,,,,,,,,,,,,,,,,,Berengaria of Castile,Spanish,Berengaria of Castile →
660,icl,knowledge/person_language,30,661,Robert Campin,Giuseppe Sarti,Dominic Behan,Sharon Osbourne,Zhu Xi,Rajesh Khanna,Georges Marchais,Willem Wilmink,Nicolas Perrenot de Granvelle,Jacques Rivette,Dutch,Italian,Irish,English,Chinese,Hindi,French,Dutch,French,French,Berengaria of Castile,Spanish,"Robert Campin → Dutch
Giuseppe Sarti → Italian
Dominic Behan → Irish
Sharon Osbourne → English
Zhu Xi → Chinese
Rajesh Khanna → Hindi
Georges Marchais → French
Willem Wilmink → Dutch
Nicolas Perrenot de Granvelle → French
Jacques Rivette → French
Berengaria of Castile →"
661,query_only,knowledge/person_language,30,660,,,,,,,,,,,,,,,,,,,,,Olavi Paavolainen,Finnish,Olavi Paavolainen →
662,icl,knowledge/person_language,31,663,Samuel Purchas,Marcus Licinius Crassus,Johann Gerhard,Thor Heyerdahl,Ivan Vasilenko,Gunnar Staalesen,Freeman Dyson,Mother Teresa,Umberto Spadaro,Gwen Stefani,English,Latin,German,Norwegian,Russian,Norwegian,English,English,Italian,English,Olavi Paavolainen,Finnish,"Samuel Purchas → English
Marcus Licinius Crassus → Latin
Johann Gerhard → German
Thor Heyerdahl → Norwegian
Ivan Vasilenko → Russian
Gunnar Staalesen → Norwegian
Freeman Dyson → English
Mother Teresa → English
Umberto Spadaro → Italian
Gwen Stefani → English
Olavi Paavolainen →"
663,query_only,knowledge/person_language,31,662,,,,,,,,,,,,,,,,,,,,,Eva Cantarella,Italian,Eva Cantarella →
664,icl,knowledge/person_language,32,665,Roy Orbison,Samuel Purchas,Max Velthuijs,Jacques Poulin,Giuseppe Tornatore,Alexandre de Marenches,Victor Jacquemont,Nanni Moretti,Keren Peles,Carl Bildt,English,English,Dutch,French,Italian,French,French,Italian,Hebrew,Swedish,Eva Cantarella,Italian,"Roy Orbison → English
Samuel Purchas → English
Max Velthuijs → Dutch
Jacques Poulin → French
Giuseppe Tornatore → Italian
Alexandre de Marenches → French
Victor Jacquemont → French
Nanni Moretti → Italian
Keren Peles → Hebrew
Carl Bildt → Swedish
Eva Cantarella →"
665,query_only,knowledge/person_language,32,664,,,,,,,,,,,,,,,,,,,,,Einar Englund,Finnish,Einar Englund →
666,icl,knowledge/person_language,33,667,Tristan Tzara,Avram Iancu,Henry Drummond Wolff,James Sully,Peter Englund,Bernardino Ochino,Henry Winter,Andoni Iraola,Nahum Sokolow,Craig Raine,French,Romanian,English,English,Swedish,Italian,English,Spanish,Hebrew,English,Einar Englund,Finnish,"Tristan Tzara → French
Avram Iancu → Romanian
Henry Drummond Wolff → English
James Sully → English
Peter Englund → Swedish
Bernardino Ochino → Italian
Henry Winter → English
Andoni Iraola → Spanish
Nahum Sokolow → Hebrew
Craig Raine → English
Einar Englund →"
667,query_only,knowledge/person_language,33,666,,,,,,,,,,,,,,,,,,,,,Hamid Algar,English,Hamid Algar →
668,icl,knowledge/person_language,34,669,Andrei Bitov,Anna Mouglalis,Pierre Beaumarchais,Joseph Milner,George Bentham,Piers Paul Read,Gila Almagor,Giuseppe Bossi,Constantijn Huygens,Ugo Falena,Russian,French,French,English,English,English,Hebrew,Italian,Dutch,Italian,Hamid Algar,English,"Andrei Bitov → Russian
Anna Mouglalis → French
Pierre Beaumarchais → French
Joseph Milner → English
George Bentham → English
Piers Paul Read → English
Gila Almagor → Hebrew
Giuseppe Bossi → Italian
Constantijn Huygens → Dutch
Ugo Falena → Italian
Hamid Algar →"
669,query_only,knowledge/person_language,34,668,,,,,,,,,,,,,,,,,,,,,Natalia Barbu,English,Natalia Barbu →
670,icl,knowledge/person_language,35,671,Madeleine Robinson,Anders Fager,Friedrich Georg Wilhelm von Struve,Xavier Bertrand,Yitzhak Arad,Jennifer Pareja,Auguste Chevalier,Italo Bocchino,Thor Heyerdahl,"Charles de Morny, Duke of Morny",French,Swedish,Latin,French,Hebrew,Spanish,French,Italian,Norwegian,French,Natalia Barbu,English,"Madeleine Robinson → French
Anders Fager → Swedish
Friedrich Georg Wilhelm von Struve → Latin
Xavier Bertrand → French
Yitzhak Arad → Hebrew
Jennifer Pareja → Spanish
Auguste Chevalier → French
Italo Bocchino → Italian
Thor Heyerdahl → Norwegian
Charles de Morny, Duke of Morny → French
Natalia Barbu →"
671,query_only,knowledge/person_language,35,670,,,,,,,,,,,,,,,,,,,,,Roger Quilter,English,Roger Quilter →
672,icl,knowledge/person_language,36,673,Caroline Alice Elgar,Zuber Usman,Raquel Meller,William Alfred Fowler,Santiago Segura,Kiran Kumar,Aitor Karanka,"Thomas Robinson, 1st Baron Grantham",Georges Ohnet,"John Hutton, Baron Hutton of Furness",English,Indonesian,Spanish,English,Spanish,Hindi,Spanish,English,French,English,Roger Quilter,English,"Caroline Alice Elgar → English
Zuber Usman → Indonesian
Raquel Meller → Spanish
William Alfred Fowler → English
Santiago Segura → Spanish
Kiran Kumar → Hindi
Aitor Karanka → Spanish
Thomas Robinson, 1st Baron Grantham → English
Georges Ohnet → French
John Hutton, Baron Hutton of Furness → English
Roger Quilter →"
673,query_only,knowledge/person_language,36,672,,,,,,,,,,,,,,,,,,,,,Nena,English,Nena →
674,icl,knowledge/person_language,37,675,Gilles de Robien,Louis de Cahusac,Sven Elvestad,Christopher Dresser,Lev Kamenev,Henry Louis Gates,Francis James Child,Aharon Barak,"Henry Brougham, 1st Baron Brougham and Vaux",John Glynn,French,French,Norwegian,English,Russian,English,English,Hebrew,English,English,Nena,English,"Gilles de Robien → French
Louis de Cahusac → French
Sven Elvestad → Norwegian
Christopher Dresser → English
Lev Kamenev → Russian
Henry Louis Gates → English
Francis James Child → English
Aharon Barak → Hebrew
Henry Brougham, 1st Baron Brougham and Vaux → English
John Glynn → English
Nena →"
675,query_only,knowledge/person_language,37,674,,,,,,,,,,,,,,,,,,,,,Wojciech Jaruzelski,Polish,Wojciech Jaruzelski →
676,icl,knowledge/person_language,38,677,Zacharie Astruc,Lucrezia Bori,Dirk Bogarde,Pascal Dagnan-Bouveret,Eleanor Marx,Dennis Wilson,Maria de Medeiros,Shlomo Avineri,Ailyn,Alex Levac,French,Spanish,English,French,English,English,French,Hebrew,Spanish,Hebrew,Wojciech Jaruzelski,Polish,"Zacharie Astruc → French
Lucrezia Bori → Spanish
Dirk Bogarde → English
Pascal Dagnan-Bouveret → French
Eleanor Marx → English
Dennis Wilson → English
Maria de Medeiros → French
Shlomo Avineri → Hebrew
Ailyn → Spanish
Alex Levac → Hebrew
Wojciech Jaruzelski →"
677,query_only,knowledge/person_language,38,676,,,,,,,,,,,,,,,,,,,,,"Charles Louis Auguste Fouquet, duc de Belle-Isle",French,"Charles Louis Auguste Fouquet, duc de Belle-Isle →"
678,icl,knowledge/person_language,39,679,Ian McShane,Roberto Gerhard,Jostein Pedersen,Ronny Levy,Giambattista Nolli,Thomas Overbury,Eugenio Corti,Marina Ripa di Meana,Stephen Orgel,Ailyn,English,Catalan,Norwegian,Hebrew,Italian,English,Italian,Italian,English,Spanish,"Charles Louis Auguste Fouquet, duc de Belle-Isle",French,"Ian McShane → English
Roberto Gerhard → Catalan
Jostein Pedersen → Norwegian
Ronny Levy → Hebrew
Giambattista Nolli → Italian
Thomas Overbury → English
Eugenio Corti → Italian
Marina Ripa di Meana → Italian
Stephen Orgel → English
Ailyn → Spanish
Charles Louis Auguste Fouquet, duc de Belle-Isle →"
679,query_only,knowledge/person_language,39,678,,,,,,,,,,,,,,,,,,,,,Haim Ramon,Hebrew,Haim Ramon →
680,icl,knowledge/person_language,40,681,Giovanni Ricordi,Jean De Briac,Wordsworth Donisthorpe,Anatoly Sagalevich,Louis Riel,Jostein Pedersen,Pasquale Villari,Robert Naunton,Xiong Qinglai,James Earl Jones,Italian,French,English,Russian,French,Norwegian,Italian,English,Chinese,English,Haim Ramon,Hebrew,"Giovanni Ricordi → Italian
Jean De Briac → French
Wordsworth Donisthorpe → English
Anatoly Sagalevich → Russian
Louis Riel → French
Jostein Pedersen → Norwegian
Pasquale Villari → Italian
Robert Naunton → English
Xiong Qinglai → Chinese
James Earl Jones → English
Haim Ramon →"
681,query_only,knowledge/person_language,40,680,,,,,,,,,,,,,,,,,,,,,Jean-Pierre Petit,French,Jean-Pierre Petit →
682,icl,knowledge/person_language,41,683,Friedrich Georg Wilhelm von Struve,Ellen Wilkinson,Gray Davis,Vilhelm Ekelund,Victor Emmanuel II of Savoy,Louis Jouvet,Eva Cantarella,Ferdinand Hoefer,Henri Storck,Anggun,Latin,English,English,Swedish,Italian,French,Italian,French,French,Indonesian,Jean-Pierre Petit,French,"Friedrich Georg Wilhelm von Struve → Latin
Ellen Wilkinson → English
Gray Davis → English
Vilhelm Ekelund → Swedish
Victor Emmanuel II of Savoy → Italian
Louis Jouvet → French
Eva Cantarella → Italian
Ferdinand Hoefer → French
Henri Storck → French
Anggun → Indonesian
Jean-Pierre Petit →"
683,query_only,knowledge/person_language,41,682,,,,,,,,,,,,,,,,,,,,,Jean-Baptiste Boussingault,French,Jean-Baptiste Boussingault →
684,icl,knowledge/person_language,42,685,Bernard Musson,Harold Laski,Achille Campanile,Robert Naunton,Bruno Racine,Gad Elmaleh,Joseph Hume,Melvyn Bragg,Chandrasekhar,Robert Jan van Pelt,French,English,Italian,English,French,French,English,English,Tamil,Dutch,Jean-Baptiste Boussingault,French,"Bernard Musson → French
Harold Laski → English
Achille Campanile → Italian
Robert Naunton → English
Bruno Racine → French
Gad Elmaleh → French
Joseph Hume → English
Melvyn Bragg → English
Chandrasekhar → Tamil
Robert Jan van Pelt → Dutch
Jean-Baptiste Boussingault →"
685,query_only,knowledge/person_language,42,684,,,,,,,,,,,,,,,,,,,,,Pier Luigi Nervi,Italian,Pier Luigi Nervi →
686,icl,knowledge/person_language,43,687,Kristin Scott Thomas,Safiye Ayla,Claude Miller,Benvenuto Rambaldi da Imola,Antonio Soler,Carlos Marchena,Mateo Flecha,Henry Drummond Wolff,Eadweard Muybridge,Michele Ruggieri,French,Turkish,French,Latin,Spanish,Spanish,Spanish,English,English,Italian,Pier Luigi Nervi,Italian,"Kristin Scott Thomas → French
Safiye Ayla → Turkish
Claude Miller → French
Benvenuto Rambaldi da Imola → Latin
Antonio Soler → Spanish
Carlos Marchena → Spanish
Mateo Flecha → Spanish
Henry Drummond Wolff → English
Eadweard Muybridge → English
Michele Ruggieri → Italian
Pier Luigi Nervi →"
687,query_only,knowledge/person_language,43,686,,,,,,,,,,,,,,,,,,,,,Thomas Hobbes,Latin,Thomas Hobbes →
688,icl,knowledge/person_language,44,689,Victor Horta,Itzik Zohar,Thambi Ramaiah,Jostein Pedersen,Sajjad Ali,"William Thomson, 1st Baron Kelvin",Susan McClary,Bruno Racine,John Le Gay Brereton,Samuel Purchas,Dutch,Hebrew,Tamil,Norwegian,English,English,English,French,English,English,Thomas Hobbes,Latin,"Victor Horta → Dutch
Itzik Zohar → Hebrew
Thambi Ramaiah → Tamil
Jostein Pedersen → Norwegian
Sajjad Ali → English
William Thomson, 1st Baron Kelvin → English
Susan McClary → English
Bruno Racine → French
John Le Gay Brereton → English
Samuel Purchas → English
Thomas Hobbes →"
689,query_only,knowledge/person_language,44,688,,,,,,,,,,,,,,,,,,,,,Michel-Dimitri Calvocoressi,French,Michel-Dimitri Calvocoressi →
690,icl,knowledge/person_language,45,691,Michael Atherton,Erna Solberg,Francis James Child,Jacques Grange,Jan Matejko,Cid Corman,Thomas Overbury,Cecilia Bartoli,Gevorg Emin,Edward Heyman,English,Norwegian,English,French,Polish,English,English,Italian,Armenian,English,Michel-Dimitri Calvocoressi,French,"Michael Atherton → English
Erna Solberg → Norwegian
Francis James Child → English
Jacques Grange → French
Jan Matejko → Polish
Cid Corman → English
Thomas Overbury → English
Cecilia Bartoli → Italian
Gevorg Emin → Armenian
Edward Heyman → English
Michel-Dimitri Calvocoressi →"
691,query_only,knowledge/person_language,45,690,,,,,,,,,,,,,,,,,,,,,Antonio Basoli,Italian,Antonio Basoli →
692,icl,knowledge/person_language,46,693,Roger Holeindre,Alexander Bulatovich,Giuseppe Peano,James Hardiman,Ivan Vasilenko,Kenneth Anger,Auguste de Marmont,Peter Englund,Ellen Wilkinson,Peter Brook,French,Russian,Italian,English,Russian,English,French,Swedish,English,English,Antonio Basoli,Italian,"Roger Holeindre → French
Alexander Bulatovich → Russian
Giuseppe Peano → Italian
James Hardiman → English
Ivan Vasilenko → Russian
Kenneth Anger → English
Auguste de Marmont → French
Peter Englund → Swedish
Ellen Wilkinson → English
Peter Brook → English
Antonio Basoli →"
693,query_only,knowledge/person_language,46,692,,,,,,,,,,,,,,,,,,,,,El General,Spanish,El General →
694,icl,knowledge/person_language,47,695,Willem Einthoven,Maurice Merleau-Ponty,Ricardo Bofill,"Claude Henri de Rouvroy, comte de Saint-Simon",Thomas Hardy,Edward Kimber,Italo Bocchino,Ji Kang,Christopher Logue,Rajesh Khanna,Dutch,French,Spanish,French,English,English,Italian,Chinese,English,Hindi,El General,Spanish,"Willem Einthoven → Dutch
Maurice Merleau-Ponty → French
Ricardo Bofill → Spanish
Claude Henri de Rouvroy, comte de Saint-Simon → French
Thomas Hardy → English
Edward Kimber → English
Italo Bocchino → Italian
Ji Kang → Chinese
Christopher Logue → English
Rajesh Khanna → Hindi
El General →"
695,query_only,knowledge/person_language,47,694,,,,,,,,,,,,,,,,,,,,,Tanya Savicheva,Russian,Tanya Savicheva →
696,icl,knowledge/person_language,48,697,Gajanan Madhav Muktibodh,Peter Englund,"Pedro Caro, 3rd Marquis of la Romana",Conrad Busken Huet,Juan Bautista Villalpando,Hieronymus Fabricius,Didier Haudepin,Avram Iancu,Alicia Markova,George Gurdjieff,Hindi,Swedish,Spanish,Dutch,Spanish,Latin,French,Romanian,English,Armenian,Tanya Savicheva,Russian,"Gajanan Madhav Muktibodh → Hindi
Peter Englund → Swedish
Pedro Caro, 3rd Marquis of la Romana → Spanish
Conrad Busken Huet → Dutch
Juan Bautista Villalpando → Spanish
Hieronymus Fabricius → Latin
Didier Haudepin → French
Avram Iancu → Romanian
Alicia Markova → English
George Gurdjieff → Armenian
Tanya Savicheva →"
697,query_only,knowledge/person_language,48,696,,,,,,,,,,,,,,,,,,,,,Ferruccio Busoni,Italian,Ferruccio Busoni →
698,icl,knowledge/person_language,49,699,Olga Vittoria Gentilli,Adriana Russo,Moshe Feiglin,Bernard Griffin,Jean Lhermitte,Claude Closky,Philip Henry Wicksteed,Giovanni Lindo Ferretti,Sybil Ruscoe,Xavier Bertrand,Italian,Italian,Hebrew,English,French,French,English,Italian,English,French,Ferruccio Busoni,Italian,"Olga Vittoria Gentilli → Italian
Adriana Russo → Italian
Moshe Feiglin → Hebrew
Bernard Griffin → English
Jean Lhermitte → French
Claude Closky → French
Philip Henry Wicksteed → English
Giovanni Lindo Ferretti → Italian
Sybil Ruscoe → English
Xavier Bertrand → French
Ferruccio Busoni →"
699,query_only,knowledge/person_language,49,698,,,,,,,,,,,,,,,,,,,,,Willem-Alexander of the Netherlands,Dutch,Willem-Alexander of the Netherlands →
700,icl,knowledge/person_profession,0,701,Habakkuk,Danny Dayton,Robert Lepage,Hiroshi Hase,Carla Camurati,Luisella Boni,Lucio Fulci,Mullanezhi,Michael Healy-Rae,Kurt Furgler,prophet,actor,actor,politician,actor,actor,actor,actor,politician,politician,Max Volmer,chemist,"Habakkuk → prophet
Danny Dayton → actor
Robert Lepage → actor
Hiroshi Hase → politician
Carla Camurati → actor
Luisella Boni → actor
Lucio Fulci → actor
Mullanezhi → actor
Michael Healy-Rae → politician
Kurt Furgler → politician
Max Volmer →"
701,query_only,knowledge/person_profession,0,700,,,,,,,,,,,,,,,,,,,,,Rebecca Pidgeon,actor,Rebecca Pidgeon →
702,icl,knowledge/person_profession,1,703,Jeff Beal,Mark Andrew Green,Roger Pigaut,Martin Burrell,Jean Henri van Swinden,Paulo Pires,Pat Crowley,Annie Proulx,Barbara Leigh,Georgy Lvov,composer,politician,actor,politician,mathematician,model,actor,novelist,actor,politician,Rebecca Pidgeon,actor,"Jeff Beal → composer
Mark Andrew Green → politician
Roger Pigaut → actor
Martin Burrell → politician
Jean Henri van Swinden → mathematician
Paulo Pires → model
Pat Crowley → actor
Annie Proulx → novelist
Barbara Leigh → actor
Georgy Lvov → politician
Rebecca Pidgeon →"
703,query_only,knowledge/person_profession,1,702,,,,,,,,,,,,,,,,,,,,,Henry Brassey,politician,Henry Brassey →
704,icl,knowledge/person_profession,2,705,Shibdas Ghosh,Ken Murray,Shruti Sharma,Ernst von Possart,Simon Dallow,Ruth Marshall,"Cledwyn Hughes, Baron Cledwyn of Penrhos",Annie Proulx,Richard Brauer,James Craig Annan,politician,actor,actor,actor,journalist,actor,politician,novelist,mathematician,photographer,Henry Brassey,politician,"Shibdas Ghosh → politician
Ken Murray → actor
Shruti Sharma → actor
Ernst von Possart → actor
Simon Dallow → journalist
Ruth Marshall → actor
Cledwyn Hughes, Baron Cledwyn of Penrhos → politician
Annie Proulx → novelist
Richard Brauer → mathematician
James Craig Annan → photographer
Henry Brassey →"
705,query_only,knowledge/person_profession,2,704,,,,,,,,,,,,,,,,,,,,,Simon Gosejohann,actor,Simon Gosejohann →
706,icl,knowledge/person_profession,3,707,Joseph Cowen,Jung Ryeo-won,Stewart Alexander,Patricia Haines,Johan Herman Wessel,James Reese Europe,Rashida Jones,Alfred Easton Poor,Jane Leeves,"Desi Arnaz, Jr.",politician,actor,politician,actor,poet,composer,actor,architect,actor,actor,Simon Gosejohann,actor,"Joseph Cowen → politician
Jung Ryeo-won → actor
Stewart Alexander → politician
Patricia Haines → actor
Johan Herman Wessel → poet
James Reese Europe → composer
Rashida Jones → actor
Alfred Easton Poor → architect
Jane Leeves → actor
Desi Arnaz, Jr. → actor
Simon Gosejohann →"
707,query_only,knowledge/person_profession,3,706,,,,,,,,,,,,,,,,,,,,,Nikolai Myaskovsky,composer,Nikolai Myaskovsky →
708,icl,knowledge/person_profession,4,709,Alonzo Bodden,Abrar Alvi,Jack Wild,Gunnar Birkerts,Akshaye Khanna,Yoo So-young,Jacobo Zabludovsky,Shibdas Ghosh,Bruno Lawrence,Trevor Wright,actor,actor,actor,architect,actor,actor,journalist,politician,actor,actor,Nikolai Myaskovsky,composer,"Alonzo Bodden → actor
Abrar Alvi → actor
Jack Wild → actor
Gunnar Birkerts → architect
Akshaye Khanna → actor
Yoo So-young → actor
Jacobo Zabludovsky → journalist
Shibdas Ghosh → politician
Bruno Lawrence → actor
Trevor Wright → actor
Nikolai Myaskovsky →"
